what,kind,bundleId,bundleVersion,description,time
error,log,,,"Downloading ELF Process failed",1606472999053
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606473001729
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606473003960
started,bundle,com.altera.debug.cdi.gdb.plugin,11.1.0.259,"com.altera.debug.cdi.gdb.plugin",1606473018416
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606473018932
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606473030414
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1606473036048
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1606473040078
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1606473042237
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606473043654
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606473052183
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606473065598
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606473075077
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606473105444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606473109980
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606473114897
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1606473116008
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1606473121702
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1606473126479
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1606473128603
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1606473134910
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606473141354
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606473148050
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1606473150643
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606473154338
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1606473156743
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1606473156993
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1606473168245
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606473169761
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606473175719
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606473188573
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1606473189786
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606473191332
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1606473196543
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606473197270
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606473197281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606473199763
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1606473204062
