what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.debug.cdi.gdb.plugin,11.1.0.259,"com.altera.debug.cdi.gdb.plugin",1605519512793
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519513250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519513621
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519514684
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519514692
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519515711
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519527103
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1605519527134
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519547883
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519552543
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1605519559364
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519559439
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519566014
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519572420
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519603106
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519610448
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519618853
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1605519618886
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519624712
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519628648
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519635963
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519639902
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1605519639935
started,bundle,com.altera.sbtgui.ui,11.1.0.259,"com.altera.sbtgui.ui",1605519643436
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519644754
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519673607
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519709609
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519750209
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1605519751350
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519751722
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519755814
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1605519756427
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1605519756429
opened,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1605519758094
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1605519758670
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1605519758705
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1605519776106
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1605519777013
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1605519777743
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1605519779223
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1605519781366
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1605519781502
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1605519782645
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1605519783696
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1605519784423
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1605519787467
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1605519789750
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519800546
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519809568
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1605519812975
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1605519815538
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1605519829211
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1605519831161
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1605519834546
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1605519838635
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519842607
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519849767
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1605519850641
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1605519855483
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1605519859655
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1605519866067
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519873084
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519878787
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519881280
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519926860
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605519943922
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520015051
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520079004
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520113456
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520114490
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520126567
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520126589
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520127018
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520134454
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520199960
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520199979
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520200575
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520212263
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520222412
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520225510
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520236003
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1605520242942
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1605520252409
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1605520259095
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1605520276502
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1605520288580
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1605520293067
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1605520299453
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520350531
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520361506
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520361536
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520367347
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520391556
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520402122
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520402136
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520414758
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1605520429565
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520432179
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520436239
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1605520437119
error,log,,,"Cannot initialize the Nios II Console view for use. Byte stream service may still be open by another process like 'nios2-terminal'.",1605520441921
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520441979
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520456587
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520458138
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520467472
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520472787
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520476828
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1605520477694
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1605520482949
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1605520487052
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1605520493566
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520496325
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520535662
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520549271
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1605520556885
