what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606467718731
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606467721822
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1606467721880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606467724557
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606467919071
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606467921052
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606469507953
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606469512001
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606470786733
opened,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1606470792294
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1606470792375
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1606470794304
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1606470794998
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1606470799313
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1606470799353
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606470858268
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1606471253623
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1606471253690
