what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1607798430013
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1607798430016
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1607798430018
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1607798430032
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1607798430216
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1607798430218
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1607798430220
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1607798430222
os,sysinfo,,,"win32",1607798430469
arch,sysinfo,,,"x86",1607798430469
ws,sysinfo,,,"win32",1607798430469
locale,sysinfo,,,"fr_FR",1607798430469
processors,sysinfo,,,"4",1607798430470
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1607798430470
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1607798430470
java.specification.name,sysinfo,,,"Java Platform API Specification",1607798430470
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1607798430470
java.specification.version,sysinfo,,,"1.6",1607798430470
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1607798430470
java.version,sysinfo,,,"1.6.0_23",1607798430470
java.vm.info,sysinfo,,,"mixed mode",1607798430470
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1607798430470
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1607798430470
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1607798430470
java.vm.specification.version,sysinfo,,,"1.0",1607798430470
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1607798430470
java.vm.version,sysinfo,,,"19.0-b09",1607798430470
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1607798431489
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1607798433524
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1607798437540
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1607798438863
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1607798462720
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1607798494279
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1607798495640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1607798506609
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1607798510743
started,bundle,com.altera.sbtgui.core,11.1.0.259,"com.altera.sbtgui.core",1607798512165
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1607798512317
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1607798513751
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1607798513834
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1607798513843
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1607798519519
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1607798520787
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1607798520954
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1607798521103
stopped,bundle,com.altera.debug.cdi.gdb.plugin,11.1.0.259,"com.altera.debug.cdi.gdb.plugin",1607798521737
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1607798575259
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1607798575260
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1607798575261
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1607798575262
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1607798575264
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1607798575265
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1607798575266
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1607798575267
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1607798575269
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1607798575270
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1607798575271
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1607798575272
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1607798575273
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1607798575274
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1607798575275
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1607798575276
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1607798575277
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1607798575278
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1607798575279
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1607798575280
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1607798575281
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1607798575282
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1607798575283
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1607798575284
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1607798575285
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1607798575286
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1607798575287
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1607798575288
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1607798575290
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1607798575291
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1607798575292
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1607798575293
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1607798575293
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1607798575294
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1607798575295
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1607798575297
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1607798575298
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1607798575298
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1607798575299
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1607798575300
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1607798575300
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1607798575301
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1607798575302
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1607798575304
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1607798575305
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1607798575306
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1607798575308
started,bundle,com.altera.sbtgui.integration,11.1.0.259,"com.altera.sbtgui.integration",1607798575309
started,bundle,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch",1607798575310
